"year"	"category"	"min"
"2004"	"Passenger Alarm"	141
"2004"	"Signals"	2489
"2004"	"Mechanical"	151
"2004"	"Track"	275
"2004"	"Switching"	285
"2004"	"Security"	379
"2004"	"Police Investigation"	344
"2004"	"Fire Investigation"	245
"2004"	"Medical"	292
"2004"	"Power Off"	825
"2004"	"Late Clearing Work Zone"	127
"2004"	"Unspecified"	133
"2005"	"Passenger Alarm"	203
"2005"	"Signals"	2200
"2005"	"Mechanical"	201
"2005"	"Track"	324
"2005"	"Switching"	248
"2005"	"Security"	590
"2005"	"Police Investigation"	476
"2005"	"Fire Investigation"	376
"2005"	"Medical"	264
"2005"	"Power Off"	987
"2005"	"Late Clearing Work Zone"	153
"2005"	"Unspecified"	195
"2006"	"Passenger Alarm"	195
"2006"	"Signals"	2114
"2006"	"Mechanical"	190
"2006"	"Track"	353
"2006"	"Switching"	263
"2006"	"Security"	612
"2006"	"Police Investigation"	379
"2006"	"Fire Investigation"	411
"2006"	"Medical"	291
"2006"	"Power Off"	838
"2006"	"Late Clearing Work Zone"	132
"2006"	"Unspecified"	203
"2007"	"Passenger Alarm"	296
"2007"	"Signals"	2402
"2007"	"Mechanical"	352
"2007"	"Track"	541
"2007"	"Switching"	394
"2007"	"Security"	890
"2007"	"Police Investigation"	634
"2007"	"Fire Investigation"	678
"2007"	"Medical"	360
"2007"	"Power Off"	1141
"2007"	"Late Clearing Work Zone"	202
"2007"	"Unspecified"	227
"2008"	"Passenger Alarm"	432
"2008"	"Signals"	2852
"2008"	"Mechanical"	441
"2008"	"Track"	687
"2008"	"Switching"	560
"2008"	"Security"	986
"2008"	"Police Investigation"	733
"2008"	"Fire Investigation"	947
"2008"	"Medical"	523
"2008"	"Power Off"	1449
"2008"	"Late Clearing Work Zone"	269
"2008"	"Unspecified"	284
"2009"	"Passenger Alarm"	489
"2009"	"Signals"	2592
"2009"	"Mechanical"	521
"2009"	"Track"	844
"2009"	"Switching"	580
"2009"	"Security"	1207
"2009"	"Police Investigation"	897
"2009"	"Fire Investigation"	1140
"2009"	"Medical"	500
"2009"	"Power Off"	1577
"2009"	"Late Clearing Work Zone"	285
"2009"	"Unspecified"	294
"2010"	"Passenger Alarm"	410
"2010"	"Signals"	2046
"2010"	"Mechanical"	488
"2010"	"Track"	724
"2010"	"Switching"	535
"2010"	"Security"	1132
"2010"	"Police Investigation"	774
"2010"	"Fire Investigation"	1154
"2010"	"Medical"	420
"2010"	"Power Off"	1283
"2010"	"Late Clearing Work Zone"	251
"2010"	"Unspecified"	272
"2011"	"Passenger Alarm"	406
"2011"	"Signals"	1777
"2011"	"Mechanical"	426
"2011"	"Track"	689
"2011"	"Switching"	491
"2011"	"Security"	1110
"2011"	"Police Investigation"	769
"2011"	"Fire Investigation"	1184
"2011"	"Medical"	385
"2011"	"Power Off"	1279
"2011"	"Late Clearing Work Zone"	272
"2011"	"Unspecified"	249
"2012"	"Passenger Alarm"	485
"2012"	"Signals"	1671
"2012"	"Mechanical"	448
"2012"	"Track"	645
"2012"	"Switching"	510
"2012"	"Security"	1167
"2012"	"Police Investigation"	791
"2012"	"Fire Investigation"	1466
"2012"	"Medical"	419
"2012"	"Power Off"	1247
"2012"	"Late Clearing Work Zone"	288
"2012"	"Unspecified"	250
"2013"	"Passenger Alarm"	379
"2013"	"Signals"	1101
"2013"	"Mechanical"	306
"2013"	"Track"	498
"2013"	"Switching"	394
"2013"	"Security"	887
"2013"	"Police Investigation"	606
"2013"	"Fire Investigation"	1115
"2013"	"Medical"	276
"2013"	"Power Off"	952
"2013"	"Late Clearing Work Zone"	221
"2013"	"Unspecified"	177
"2014"	"Passenger Alarm"	256
"2014"	"Signals"	686
"2014"	"Mechanical"	220
"2014"	"Track"	344
"2014"	"Switching"	286
"2014"	"Security"	587
"2014"	"Police Investigation"	482
"2014"	"Fire Investigation"	753
"2014"	"Medical"	233
"2014"	"Power Off"	716
"2014"	"Late Clearing Work Zone"	130
"2014"	"Unspecified"	132
